timestamp,applicant_id,decision,credit_risk_score,risk_tier,fraud_risk_level,self_check_passed
2026-08-08T03:58:56.518946+00:00,APP_1042,APPROVED,99.9,TIER_1_EXCELLENT,LOW,True
2026-08-08T03:59:44.807871+00:00,APP_7896,APPROVED,99.9,TIER_1_EXCELLENT,LOW,True
2026-08-08T04:22:38.052781+00:00,APP_3310,FLAGGED_FOR_MANUAL_REVIEW,99.9,TIER_1_EXCELLENT,CRITICAL,True
2026-08-08T04:24:25.016341+00:00,APP_3310,FLAGGED_FOR_MANUAL_REVIEW,99.9,TIER_1_EXCELLENT,CRITICAL,True
2026-08-08T04:25:20.209399+00:00,APP_2091,APPROVED,99.9,TIER_1_EXCELLENT,LOW,True
2026-08-08T04:25:42.154380+00:00,APP_1042,APPROVED,99.9,TIER_1_EXCELLENT,LOW,True
2026-08-08T04:28:49.567440+00:00,APP_2091,APPROVED,99.9,TIER_1_EXCELLENT,LOW,True
2026-08-08T04:29:02.278220+00:00,APP_1042,APPROVED,99.9,TIER_1_EXCELLENT,LOW,True
2026-08-08T04:29:21.308133+00:00,APP_3310,FLAGGED_FOR_MANUAL_REVIEW,99.9,TIER_1_EXCELLENT,CRITICAL,True
2026-08-08T04:30:14.595823+00:00,APP_1042,APPROVED,99.9,TIER_1_EXCELLENT,LOW,True
2026-08-08T04:53:47.941235+00:00,APP_CUSTOM,APPROVED,99.9,TIER_1_EXCELLENT,LOW,True
